id,x0,x1,x2,x3,x4,x5,x6,x7,x8
133,0.449512,-1.247226,0.413178,0.303781,-0.123848,-0.184227,-0.219076,0.268537,0.015996
273,-1.245485,-0.842317,-1.255026,-1.038066,-0.426301,-1.088781,-0.976392,-0.898898,0.983496
175,-1.549664,-1.126219,-1.546652,-1.216392,-0.354424,-1.167051,-1.114873,-1.26182,-0.327193
551,-0.851273,0.733108,-0.843535,-0.786363,-0.049836,-0.424532,-0.509221,-0.679649,0.797298
199,0.091654,0.216499,0.103839,-0.034667,0.16793,0.308132,0.366614,0.280661,0.505223
274,1.080023,1.20783,0.956888,0.978402,-0.555822,-0.645696,-0.399365,-0.038153,-0.998966
420,-0.726307,-0.058095,-0.73191,-0.697343,-0.775723,-0.513983,-0.426233,-0.893482,0.800949
76,-0.169639,-1.943019,-0.167192,-0.27215,2.329937,0.006804,-0.251467,0.429234,2.1591
315,-0.465014,-0.567723,-0.526371,-0.492852,-0.800631,-1.250816,-1.058714,-1.096145,-2.178221
399,-0.660984,-0.472313,-0.688248,-0.634204,-0.390718,-0.79636,-0.75668,-0.839314,0.129175
238,0.02633,1.992051,0.02393,-0.088136,-1.005588,-0.008357,0.26994,-0.124821,-1.714551
246,-0.263364,-0.432753,-0.322891,-0.322206,-1.722935,-1.120051,-0.570489,-0.976796,-1.185164
253,0.901094,-0.5142,0.86627,0.777324,0.315955,-0.004567,0.474586,0.892752,0.005043
550,-0.927957,0.509709,-0.966282,-0.837273,-1.569218,-1.176337,-1.114873,-1.26182,-0.5499
208,-0.288925,0.756379,-0.203852,-0.356904,0.273255,0.833088,-0.021963,0.054189,0.140128
185,-1.149488,-0.972632,-1.161936,-0.959569,-0.26262,-1.087644,-1.094823,-1.199811,-0.39656
156,1.00902,0.337507,1.047507,0.87829,1.077425,1.178005,1.214074,1.456866,0.581892
0,1.097064,-2.073335,1.269934,0.984375,1.568466,3.283515,2.652874,2.532475,2.217515
70,1.366877,0.470149,1.302886,1.351264,-0.446227,-0.027309,0.241064,0.78906,-0.838325
293,-0.646783,-0.425771,-0.676715,-0.631929,-0.899551,-0.908174,-0.777395,-0.673717,0.231402
287,-0.351408,-1.435719,-0.415157,-0.395299,-1.907966,-1.270715,-0.83113,-0.959772,-1.732806
222,-1.121087,-0.409482,-1.105917,-0.972083,0.693131,-0.366161,-0.892901,-0.767865,0.359185
262,0.898254,0.660969,0.923936,0.833069,-0.453344,0.435107,0.102583,0.674535,1.082072
309,-0.305966,-1.26817,-0.381381,-0.353491,-0.913784,-1.269578,-1.057635,-1.034085,-1.309296
534,-0.899556,-0.388538,-0.872369,-0.822768,0.036274,-0.129268,-0.454105,-0.542683,-0.70324
54,0.276263,0.635371,0.217936,0.164705,-0.41278,-0.635462,-0.45536,-0.401848,-0.714193
172,0.378508,-1.721948,0.433773,0.233247,2.087974,0.969539,1.436297,1.56778,0.563638
484,0.455192,-1.863899,0.44613,0.262542,0.565034,0.484381,0.380424,0.340245,-0.100834
102,-0.553058,0.286311,-0.607516,-0.557982,-1.155035,-1.212155,-0.815688,-0.805266,-0.265127
458,-0.320167,1.359089,-0.3855,-0.38307,-0.901686,-1.016007,-0.96346,-0.80733,-0.527994
495,0.21094,0.214172,0.170979,0.073978,-0.034891,-0.395915,-0.258122,0.01524,-1.185164
158,-0.58714,-1.524147,-0.623168,-0.586707,-0.231308,-0.984169,-0.867289,-0.755484,-0.809117
160,-0.675185,0.207191,-0.653649,-0.668618,0.892395,0.184948,-0.255736,-0.297641,0.662213
292,-0.334368,-0.760869,-0.36367,-0.401556,0.294605,-0.4721,-0.342114,-0.392562,-0.297985
493,-0.473535,-1.503204,-0.541199,-0.505082,-1.611206,-1.211208,-1.024816,-0.965447,-0.725145
394,-0.57578,-0.365268,-0.572504,-0.593533,0.465402,-0.128131,-0.514369,-0.403912,0.45776
528,-0.053194,-1.424083,-0.068336,-0.172606,2.023925,-0.128699,0.153179,0.444452,0.600147
335,0.832931,0.39801,0.816841,0.750021,1.105891,0.02386,0.778417,1.300555,-0.308938
311,0.137096,-0.837662,0.029285,0.028472,-1.436139,-1.311272,-0.933202,-0.777667,-0.655777
25,0.855652,-0.672441,0.98984,0.733241,1.582699,2.335941,1.68363,2.351917,4.484751
522,-0.814352,0.125743,-0.851362,-0.758776,-0.800631,-1.141087,-1.051257,-1.115722,-0.637523
512,-0.206561,0.286311,-0.137124,-0.27926,1.013376,0.806556,0.69932,0.846065,1.111279
230,0.830091,-0.048787,0.882746,0.6829,1.262455,1.001757,1.283127,1.549724,1.166043
548,-1.262242,0.011717,-1.273561,-1.050012,-0.814864,-1.024157,-0.821463,-1.01381,-0.845627
213,0.935176,1.459153,0.928055,0.833637,0.301721,0.194424,0.996873,0.439809,-1.838683
390,-1.098366,-1.645155,-1.079967,-0.947908,0.256176,-0.548095,-0.873441,-0.754194,-0.042419
275,-0.635423,-0.449042,-0.64953,-0.623681,1.860245,-0.611014,-0.370489,0.647967,0.742534
219,1.534446,3.067156,1.484123,1.615766,-0.865392,0.164101,0.322671,0.450127,-1.40057
236,2.579618,1.787269,2.534473,2.88708,-0.0904,1.210223,1.333347,1.928896,0.355534
336,-0.323007,-1.177414,-0.324951,-0.39985,-0.123848,-0.088901,-0.645568,-0.720662,-0.582759
20,-0.297446,-0.833008,-0.261106,-0.383638,0.792763,0.429422,-0.541362,-0.459627,0.567289
193,-0.507616,1.761672,-0.445638,-0.504797,0.500985,0.586719,0.247342,-0.085098,0.479666
200,-0.538858,0.062913,-0.553145,-0.551441,-0.035603,-0.44481,-0.589196,-0.202461,0.6111
83,1.41232,1.629029,1.529432,1.356952,1.789079,1.416794,1.317025,2.527316,-0.648476
376,-1.010321,0.216499,-0.89873,-0.900412,-0.400681,1.16853,1.747661,0.270601,1.374147
295,-0.101476,-1.400813,-0.161014,-0.205313,-0.311725,-0.798444,-0.981414,-0.767349,-0.801815
77,1.114105,-0.730617,1.162839,0.998595,0.721598,2.089571,0.999384,1.523931,1.242713
441,0.892574,1.426574,0.841556,0.779031,-0.928729,0.124303,0.396746,0.217723,-1.258183
109,-0.79163,0.458514,-0.802757,-0.734885,-0.624141,-0.731356,-0.470426,-0.771992,-1.185164
319,-0.482055,-0.532817,-0.550673,-0.505082,-1.47955,-1.322832,-0.946385,-0.82358,-1.239928
349,-0.618382,-1.007538,-0.607104,-0.648993,1.383436,0.308132,-0.967854,-0.800881,2.363553
89,0.145616,-0.94238,0.156563,-0.008501,1.198406,0.560187,0.136356,0.560267,1.111279
419,-0.842753,0.49342,-0.865778,-0.78096,0.38712,-0.844497,-1.002443,-0.984276,-0.717843
562,0.310345,2.636649,0.470844,0.176365,0.600616,1.977758,2.086645,1.170295,1.15509
370,0.631281,0.930909,0.701509,0.527612,0.075415,0.85962,1.158832,1.001086,1.326685
546,-1.081325,-0.684076,-1.098091,-0.938523,-0.143774,-1.030979,-0.987817,-1.120082,0.267911
49,-0.181,0.700529,-0.208383,-0.26703,-0.629123,-0.518531,-0.518386,-0.388951,-0.00956
412,-1.34347,0.556251,-1.327108,-1.098077,-1.186348,-0.830283,-0.645945,-1.129548,-1.962815
417,0.389869,0.416627,0.450249,0.421527,1.113008,0.999861,0.795994,0.925768,0.9981
440,-0.896716,-0.486275,-0.83365,-0.805988,-0.513123,0.131884,0.072451,-0.329883,-1.177862
482,-0.18668,-1.216974,-0.191495,-0.308839,0.764297,0.21148,-0.388442,0.096492,-0.119089
291,0.236501,-0.044132,0.208462,0.09218,-0.458325,-0.115812,-0.369108,-0.018808,0.246006
198,1.435041,0.744743,1.463528,1.402458,-0.792091,0.728855,0.283751,0.484949,-0.1629
